Sample,Parameter,N,Coverage,Median,Mean,Std,Minimum,Maximum
466,C2,236,0.582716049382716,0.02351639475425675,0.026977055265513847,0.014840655364185572,0.0127810429750911,0.1757094576351139
466,C3,109,0.2691358024691358,0.5164397159104772,3.791123211097685,13.099698388439293,0.0869934845877271,100.0
466,L0,405,1.0,1.0693535901167065e-07,1.1009074811508387e-07,2.7841857544597507e-08,4.345594844318506e-09,1.8072494757293866e-07
466,Q1,405,1.0,0.039859813810257,0.040519746157228136,0.010745557510060628,0.0161547047173166,0.0963892950224312
466,Q2,236,0.582716049382716,0.09586211374884905,0.10933509433638272,0.0658136560309465,0.0204804075773805,0.5639384618392662
466,Q3,109,0.2691358024691358,0.7411054482722808,4.909237649467282,14.646577721612147,0.138723068639824,100.0
466,R0,405,1.0,0.0335487232568364,0.03321752651226298,0.002634428947094248,0.0259616964021038,0.039347722576097
466,R1,405,1.0,0.1944163327154149,2.202751028234528,4.879436888641778,0.0084321875782927,53.51246579641356
466,R2,236,0.582716049382716,0.03630779391047485,0.05647162913837898,0.07148504163560106,0.0020068902525058,0.506248070799529
466,R3,109,0.2691358024691358,0.0056634128145906,0.006530120122036895,0.004098452956765619,0.0002026124143604,0.0160622391197822
466,a1,405,1.0,0.8520988098880314,0.8557699845353813,0.06178170915627754,0.715955710814579,1.0
466,a2,236,0.582716049382716,0.7713224077515717,0.802072668110972,0.104781068865994,0.6046804998952806,1.0
466,a3,109,0.2691358024691358,0.9140228335022396,0.9084533969368167,0.09486175248720027,0.6511059792607312,1.0
466,tau1,405,1.0,0.0037180992915531,0.09046710598717037,0.295791900095356,0.0001442426357857,4.122950688329874
466,tau2,236,0.582716049382716,0.0007804587429508,0.001370787279302901,0.00201153860017384,0.0001563402744325,0.0151730374160366
466,tau3,109,0.2691358024691358,0.0025171884594315,0.004191910785914888,0.00606938187247228,0.0007358061188835,0.0374294866983436
466,inv_R1,405,1.0,5.143600776915138,12.513578710987215,17.38133978626669,0.018687234555859706,118.59318720261133
